date,total_fare,trip_count,avg_fare
2023-01-01,51342.663846661446,27649,2.0
2023-01-02,46970.69598038864,34657,2.0
2023-01-03,68050.20709577833,29189,2.33136479823832
2023-01-04,58017.50307297091,23844,2.4332118383228867
2023-01-05,52917.5212848359,26839,2.0
2023-01-06,57549.812048306805,40275,2.0
2023-01-07,54200.65970658672,22366,2.423350608360311
2023-01-08,88468.8710047837,20344,4.348646824851735
2023-01-09,57593.29065990614,34530,2.0
2023-01-10,45368.46237701422,32510,2.0
2023-01-11,54158.81869186592,21594,2.508049397604238
2023-01-12,42533.55373085397,21460,2.0
2023-01-13,53268.30755015442,26472,2.01225096517658
2023-01-14,93162.75775917828,28618,3.255390235487395
2023-01-15,60165.57968305011,26714,2.2522115625907806
2023-01-16,38503.726933111415,31802,2.0
2023-01-17,43128.03651324131,38047,2.0
2023-01-18,39350.7656898767,37206,2.0
2023-01-19,49864.47699510756,23522,2.1199080433257187
2023-01-20,47226.10794043764,30958,2.0
2023-01-21,94147.04802419308,21214,4.437967758281941
2023-01-22,84110.70448537877,33913,2.48019061968504
2023-01-23,61472.05298946136,23492,2.616722841369886
2023-01-24,49376.532125212325,23904,2.065617977125683
2023-01-25,56095.06753066738,32791,2.0
2023-01-26,45441.28900619774,27224,2.0
2023-01-27,33688.00670357163,20369,2.0
2023-01-28,75282.90536756736,30763,2.4471899804169737
2023-01-29,61036.47565835788,20934,2.9156623511205635
2023-01-30,43756.63779829124,28951,2.0
2023-01-31,61117.39207391398,38715,2.0
2023-02-01,54505.35707371299,18241,2.9880684761643
2023-02-02,51790.76822185467,32535,2.0
2023-02-03,59079.9454929371,29523,2.0011497982229822
2023-02-04,84061.4347110466,31215,2.69298205065022
2023-02-05,64510.27588452391,25888,2.4918987903478023
2023-02-06,51002.88657430669,20056,2.543023861902009
2023-02-07,43829.22899548983,21117,2.0755424063782653
2023-02-08,55723.92775641291,28930,2.0
2023-02-09,57840.97813123533,24136,2.39646081087319
2023-02-10,45823.56855880949,39230,2.0
2023-02-11,68465.45145132266,19874,3.444975920867599
2023-02-12,84019.49614328814,20689,4.061070914171209
2023-02-13,59712.910184029824,29340,2.0352048460814527
2023-02-14,39676.68201307529,32818,2.0
2023-02-15,65926.23626938507,29261,2.253041121950209
2023-02-16,55508.32995624422,25763,2.154575552390801
2023-02-17,51653.740783798006,22595,2.2860695190882057
2023-02-18,85219.01955234923,22609,3.769252047960955
