date,total_fare,trip_count,avg_fare
2024-01-01,74342.67362190272,30818,2.5
2024-01-02,91179.96966458154,24797,3.677056485243438
2024-01-03,48455.958796500185,26458,2.5
2024-01-04,58557.01952047879,37652,2.5
2024-01-05,56807.45044207184,36641,2.5
2024-01-06,104986.61423965923,26818,3.9147816481340603
2024-01-07,86740.39698681,29402,2.9501529483303854
2024-01-08,84621.93266431193,31049,2.7254318227418572
2024-01-09,70367.71260464765,29835,2.5
2024-01-10,73865.31432023425,34823,2.5
2024-01-11,55317.82982283091,25429,2.5
2024-01-12,68873.61923785676,24508,2.8102504993413073
2024-01-13,86957.95924390307,39920,2.5
2024-01-14,66394.56114274838,26435,2.511615704284032
2024-01-15,55219.66389338212,33800,2.5
2024-01-16,70907.37106777942,43459,2.5
2024-01-17,51214.08683962913,32657,2.5
2024-01-18,71715.04111180842,25847,2.774598255573506
2024-01-19,71593.26358742839,41757,2.5
2024-01-20,68393.09716024241,28207,2.5
2024-01-21,78981.18895333204,24256,3.2561505999889526
2024-01-22,60413.82286886695,36071,2.5
2024-01-23,59144.727165500364,23016,2.569722243895567
2024-01-24,55658.29826984572,23411,2.5
2024-01-25,70923.57663724224,23060,3.075610435266359
2024-01-26,57583.569597978094,30201,2.5
2024-01-27,66291.78089453794,32079,2.5
2024-01-28,79268.49462143198,16494,4.805898788737236
2024-01-29,50306.1915824144,34356,2.5
2024-01-30,62059.292207661725,26981,2.5
2024-01-31,62996.66934658292,25734,2.5
2024-02-01,76208.16528707875,38532,2.5
2024-02-02,55190.65212397251,24875,2.5
2024-02-03,74923.78674432731,37571,2.5
2024-02-04,88854.62274688717,27531,3.272227757279688
2024-02-05,70474.24696352475,38075,2.5
2024-02-06,55793.45144266516,42923,2.5
2024-02-07,72028.1547951599,45190,2.5
2024-02-08,79845.96749673176,22365,3.5701304492167116
2024-02-09,39233.858627020825,25262,2.5
2024-02-10,95708.57412575606,30643,3.1233421703408952
2024-02-11,92621.69868690787,25853,3.582628657676396
2024-02-12,62855.69350287714,22058,2.849564489204694
2024-02-13,52573.15425125621,42067,2.5
2024-02-14,40788.02041797699,31924,2.5
2024-02-15,52164.09539132451,22485,2.5
2024-02-16,45969.09090550561,23140,2.5
2024-02-17,82503.26778059713,30001,2.750017258777945
2024-02-18,92767.67171750346,34916,2.6568814216262875
2024-02-19,64266.20523382915,37196,2.5
2024-02-20,70446.94919157466,36093,2.5
2024-02-21,69488.13156861794,28661,2.5
2024-02-22,53775.17629721075,33291,2.5
2024-02-23,69295.85988658441,41025,2.5
2024-02-24,103726.16499747637,30935,3.3530358816058308
2024-02-25,98579.59149446036,33655,2.929121720233557
2024-02-26,64295.71763997148,29000,2.5
2024-02-27,63780.7380617188,26754,2.5
2024-02-28,77873.09199596557,31838,2.5
2024-02-29,57570.82999072077,24332,2.5
2024-03-01,79934.8020536769,30400,2.6294342780814772
2024-03-02,79187.78243614189,29250,2.7072746132014323
2024-03-03,82428.89972699514,26354,3.1277566869164124
2024-03-04,62521.35901218462,26496,2.5
